,sentence
0,ya saliste ?
1,.
2,no pero todavía no cada palabra hace and and ...
3,ay Dios mío .
4,.
5,hace .
6,oh my God .
7,.
8,.
9,.
10,.
11,mira y qué haces ?
12,mira cuando los otros van para el carnival center a las tres ...
13,mhm .
14,y a las cinco vamos para el Miami Fair .
15,hello .
16,el carnival center ?
17,que hay como una cosa en el carnival center .
18,ahí al lado de la escuela en el carnival center .
19,hay alguna actividad de tres a cinco como live music y todas estas cosas .
20,y luego vamos para el Miami_fair donde están los roller_coasters a las cinco .
21,pero tú tienes la boda hoy verdad ?
22,bueno pues ...
23,si no estás haciendo nada me llamas .
24,okay .
25,un besote .
26,ay mija salí a las once de la noche de allá .
27,cállate .
28,cállate que me quiero morir .
29,ah ?
30,"ay , sí ."
31,pero como quieran no me lo han pagado .
32,con cheque .
33,claro que no .
34,a nadie .
35,let's see .
36,si no .
37,okay un beso a ella también bye bye .
38,yo sé que ella no va a salir con nosotros hoy a beber porque hoy es el día que ella sale con Ronald .
39,pero como me da ...
40,no no no no that's nice .
41,that's nice .
42,mira ven a ver la foto de la nueva Miss Miss USA .
43,cómo es ?
44,oh .
45,se parece a Tyra Banks .
46,you think ?
47,yeah .
48,she is pretty .
49,is really pretty .
50,Miss USA .
51,Miss US of A .
52,y entonces .
53,.
54,.
55,tienes que poner conversación tal vez porque hello .
56,I think it's supposed to be natural .
57,okay okay .
58,tu invento no quema ni nada de eso no ?
59,bueno pero tenemos que ...
60,ay pues sí .
61,oye Majo .
62,sure .
63,le hablo .
64,no pero es muy temprano todavía está durmiendo .
65,qué pena .
66,.
67,dile a mami que si viene no podemos invitar a más nadie .
68,mhm .
69,no cabemos .
70,va a ir este ...
71,bueno creo que ella pero no Kathy .
72,mhm .
73,oh tengo los volunteer forms para lo de el Aids Walk .
74,oh vamos a llenar eso .
75,a ver eh bueno ...
76,oh okay my microphone .
77,.
78,when we volunteer vas a tener también Pam y la hermana del Majo .
79,so .
80,no I'm telling you so that you know .
81,pero van a poner a los cinco juntos ?
82,uhuh .
83,"o tú y Lucía juntos y luego Pam , y yo juntos ."
84,uhuh .
85,por qué yo con Lucía ?
86,because she likes you .
87,ah right .
88,a ver ...
89,she likes Pam too .
90,huh ?
91,she's only seen her that one time .
92,you got a pen ?
93,whatever .
94,you have a pen ?
95,okey_dokey .
96,okay .
97,a ver a ver ...
98,a ti te encanta ponerme de mal humor because I know te encanta ...
99,.
100,a ver .
101,ay bueno whatever maybe I won't do it .
102,fine you don't want me to do yours okay .
103,because I need to submit it online by Monday .
104,are you sure you don't want me to do it then ?
105,no .
106,okay .
107,I'm joking .
108,all together .
109,a ver .
110,cuáles son las preguntas ?
111,él debe tener mil preguntas .
112,okay .
113,okay what's your phone number ?
114,you don't know my phone number ?
115,you know I don't .
116,five eight seven six two .
117,five eight seven .
118,six two .
119,okay four five five .
120,north street unit Miami Florida three three one three seven .
121,three three seven right .
122,three three one three seven .
123,hey what's your email address ?
124,wwwlal uno a .
125,we are actually gonna be working on a project for set up at the botanical gardens .
126,we have to be there at six thirty in the morning .
127,hm ?
128,and it's from six thirty to eleven .
129,okay .
130,hm ?
131,are you serious ?
132,yeah .
133,on Saturday ?
134,no it's actually Sunday Sunday the twentieth .
135,y cuando es que viene tu amiga ?
136,no era hoy que llegaba ?
137,she comes that weekend .
138,but I think I'm gonna hang out with her on Saturday .
139,mhm .
140,imagínate .
