,sentence,pos,language,switch
0,so the book is like you've read the book you don't wanna watch the movie .,co det:art n cop co pro:per v det:art n pro:per mod v v det:art n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
1,like the end .,prep det:art n .,ENG ENG ENG,0
2,but I like the movie .,conj pro:sub v det:art n .,ENG ENG ENG ENG ENG,0
3,but when you read the book you say why they don't do that in the movie you know .,conj conj pro:per v det:art n pro:per v pro:int pro:sub mod v pro:dem prep det:art n pro:per v .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
4,yeah .,co .,ENG,0
5,and at the end they put like ah como una inyección .,coord prep det:art n pro:sub v co co L2 L2 L2 .,ENG ENG ENG ENG ENG ENG ENG ENG ESP ESP ESP,1
6,se la ponen and like //.,pro:refl pro:obj v L2 L2 +//.,ENG ENG ENG ESP ESP,1
7,él podía escoger o una inyección o tomarse unas pastillas o salir para la calle y fajarse contra todo el mundo .,pro:sub v inf coord det:art n coord inf v n coord inf prep det:art n coord inf co qn det:art n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
8,he was like a murderer .,pro:sub cop prep det:art n .,ENG ENG ENG ENG ENG,0
9,for them he was like a murderer .,prep pro:obj pro:sub cop prep det:art n .,ENG ENG ENG ENG ENG ENG ENG,0
10,a murder ?,det:art n ?,ENG ENG,0
11,yeah como un asesino porque ya ellos tenían su comunidad ahí .,co adv det:art n conj adv pro:sub v det:poss n adv .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
12,yeah .,co .,ENG,0
13,you know .,pro:per v .,ENG ENG,0
14,they were like living like normal //.,pro:sub cop co part conj n +//.,ENG ENG ENG ENG ENG ENG,0
15,yeah but they're crazy they kill people like .,co conj pro:sub adj pro:sub v n prep .,ENG ENG ENG ENG ENG ENG ENG ENG,0
16,no they don't kill people .,co pro:sub mod v n .,ENG ENG ENG ENG ENG,0
17,they don't kill //.,pro:sub mod v +//.,ENG ENG ENG,0
18,ellos no mataban a su propia gente .,pro:sub adv v prepart det:poss adj n .,ENG ENG ENG ENG ENG ENG ENG,0
19,ellos mataban a la gente como nosotros .,pro:sub v prepart det:art n adv pro:sub .,ENG ENG ENG ENG ENG ENG ENG,0
20,pero exactly that's killing people .,L2 adv pro:rel n:gerund n .,ESP ENG ENG ENG ENG,1
21,because there were still some survivors left .,conj n cop adj qn n v .,ENG ENG ENG ENG ENG ENG ENG,0
22,you know but ...,pro:per v conj +...,ENG ENG ENG,0
23,I don't know .,pro:sub mod v .,ENG ENG ENG,0
