,sentence,pos,language,switch
0,.,None,,0
1,a ver si un día se me va el catarro mierda este .,aprep inf conj det:art n pro:refl pro:obj v det:art n n imp .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
2,coño .,co .,ENG,0
3,.,None,,0
4,el tosedera esta sí .,det:art n imp co .,ENG ENG ENG ENG,0
5,porque ella se va la semana que viene así que tengo que ponerle más horitas .,conj pro:sub pro:refl v det:art n pro:rel v adv pro:rel v pro:rel inf adv n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
6,chica pero a quién se le ocurre hacer bubblegum de estos sabores diferentes ?,L2 L2 L2 L2 L2 L2 L2 L2 n L2 L2 L2 L2 ?,ESP ESP ESP ESP ESP ESP ESP ESP ENG ESP ESP ESP ESP,1
7,.,None,,0
8,sí .,co .,ENG,0
9,.,None,,0
10,sí .,co .,ENG,0
11,.,None,,0
12,so tomaste aspirina o algo de eso ?,adv L2 L2 L2 L2 L2 L2 ?,ENG ESP ESP ESP ESP ESP ESP,1
13,.,None,,0
14,y de dónde tú sacaste tanto caramelo ?,coord prep pro:int pro:sub v adj n ?,ENG ENG ENG ENG ENG ENG ENG,0
15,.,None,,0
16,a quién se lo confiscaste ?,aprep pro:int pro:refl pro:obj v ?,ENG ENG ENG ENG ENG,0
17,.,None,,0
18,a quién se lo confiscaste ?,aprep pro:int pro:refl pro:obj v ?,ENG ENG ENG ENG ENG,0
19,.,None,,0
20,todos estos candies son de tu hija ?,L2 L2 n L2 L2 L2 L2 ?,ESP ESP ENG ESP ESP ESP ESP,1
21,.,None,,0
22,pero por qué ella tiene tanto caramelo ?,conj prep pro:int pro:sub v adj n ?,ENG ENG ENG ENG ENG ENG ENG,0
23,.,None,,0
24,coño pues //.,co co +//.,ENG ENG,0
25,.,None,,0
26,y pero Catalina esto es like /.,L2 L2 L2 L2 L2 prep +/.,ESP ESP ESP ESP ESP ENG,1
27,.,None,,0
28,oh tantos huevos consiguieron ?,co L2 L2 L2 ?,ENG ESP ESP ESP,1
29,.,None,,0
30,coño .,co .,ENG,0
31,.,None,,0
32,coño !,co !,ENG,0
33,"como dicen en mi país ""/.","adv v prep det:pos n +""/.",ENG ENG ENG ENG ENG,0
34,coño !,co !,ENG,0
35,.,None,,0
36,there's a lot of candy .,pro:exist det:art n prep n .,ENG ENG ENG ENG ENG,0
37,.,None,,0
38,sí eso es muy duro para las niñas .,co pro:dem cop adv v prep det:art n .,ENG ENG ENG ENG ENG ENG ENG ENG,0
39,.,None,,0
40,Molly Braxton está en el baño .,n:prop n:prop L2 L2 L2 L2 .,ENG ENG ESP ESP ESP ESP,1
41,.,None,,0
42,let me do it first .,v pro:obj v pro:per adv .,ENG ENG ENG ENG ENG,0
43,oye la otra .,v det:art det:indef .,ENG ENG ENG,0
44,.,None,,0
45,.,None,,0
46,I thought it was supposed to rain today .,pro:sub v pro:per aux part inf v adv:tem .,ENG ENG ENG ENG ENG ENG ENG ENG,0
47,.,None,,0
48,that's what the weather said .,pro:dem pro:int det:art n v .,ENG ENG ENG ENG ENG,0
49,since we couldn't get I mean on t_v .,conj pro:sub mod v pro:sub v prep n .,ENG ENG ENG ENG ENG ENG ENG ENG,0
50,Tom and I saw it on the internet .,n:prop coord pro:sub v pro:per prep det:art n .,ENG ENG ENG ENG ENG ENG ENG ENG,0
51,.,None,,0
52,it's our antenna crap .,pro:per det:poss n n .,ENG ENG ENG ENG,0
53,.,None,,0
54,I saw /.,pro:sub v +/.,ENG ENG,0
