,sentence,pos,language,switch
0,so sí hay un range ahí .,adv L2 L2 L2 n L2 .,ENG ESP ESP ESP ENG ESP,1
1,mhm .,co .,ENG,0
2,donde los policías practican .,pro:rel pro:obj n v .,ENG ENG ENG ENG,0
3,y la gente que están the police trainees .,L2 L2 L2 L2 L2 det:art n n .,ESP ESP ESP ESP ESP ENG ENG ENG,1
4,they do it every day .,pro:sub v pro:per qn n .,ENG ENG ENG ENG ENG,0
5,so when you come here don't be afraid if you hear it .,co conj pro:per v adv mod cop adj conj pro:per v pro:per .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
6,because you know they're practicing .,conj pro:per v pro:sub part .,ENG ENG ENG ENG ENG,0
7,yeah yeah they have to put these earphones .,co co pro:sub v inf v det:dem n .,ENG ENG ENG ENG ENG ENG ENG ENG,0
8,porque si no se puede quedar uno sordo .,conj conj adv pro:refl v inf pro:dem adj .,ENG ENG ENG ENG ENG ENG ENG ENG,0
9,really ?,adv ?,ENG,0
10,pero aquí no se oye mucho .,conj adv adv pro:refl v adv .,ENG ENG ENG ENG ENG ENG,0
11,absolutely se puede quedar uno sordo .,adv L2 L2 L2 L2 L2 .,ENG ESP ESP ESP ESP ESP,1
12,when //.,pro:rel +//.,ENG,0
13,cuando yo estoy entrando aquí sometimes I hear it .,L2 L2 L2 L2 L2 adv pro:sub v pro:per .,ESP ESP ESP ESP ESP ENG ENG ENG ENG,1
14,but it's not so loud because the range is all the way over there .,conj pro:per neg adv adj conj det:art n cop qn det:art n prep n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
15,yeah .,co .,ENG,0
16,which is great .,pro:rel cop adj .,ENG ENG ENG,0
17,I imagine if we were right there that would be a problem .,pro:sub v comp pro:sub cop adv adv pro:rel mod cop det:art n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
18,yeah .,co .,ENG,0
19,but there's a lot of distance .,conj pro:exist det:art n prep n .,ENG ENG ENG ENG ENG ENG,0
20,so I don't think it's a problem .,co pro:sub mod v pro:per det:art n .,ENG ENG ENG ENG ENG ENG ENG,0
21,no no no it's not a problem .,co co co pro:per neg det:art n .,ENG ENG ENG ENG ENG ENG ENG,0
22,pero if you do it every day you suppose to you know for protection .,L2 conj pro:per v pro:per qn n pro:per v prep pro:per v prep n .,ESP ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,1
23,that's a good idea .,pro:dem det:art adj n .,ENG ENG ENG ENG,0
24,yeah .,co .,ENG,0
25,but they have like little dummies .,conj pro:sub v prep adj n .,ENG ENG ENG ENG ENG ENG,0
26,yeah .,co .,ENG,0
27,and I think you're supposed to like target them or something .,coord pro:sub v pro:per part prep co n pro:obj coord pro:indef .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
28,that is the target right ?,pro:dem cop det:art n adj ?,ENG ENG ENG ENG ENG,0
29,yeah .,co .,ENG,0
30,yeah I used to do that .,co pro:sub v inf v pro:dem .,ENG ENG ENG ENG ENG ENG,0
31,entonces si caminas un poco más if you walk a little further you'll see they're building and like an exercise path for the police officials or police trainees actually .,L2 L2 L2 L2 L2 L2 conj pro:per v det:art adj adj pro:per v pro:sub n coord co det:art n n prep det:art n n coord n n adv .,ESP ESP ESP ESP ESP ESP ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,1
32,entonces tienes que brincar tienes que ir /.,adv v pro:rel inf v pro:rel inf +/.,ENG ENG ENG ENG ENG ENG ENG,0
33,obstacle courses .,n v .,ENG ENG,0
34,sí exactamente .,co adv:adj .,ENG ENG,0
35,oh my god .,co det:poss n .,ENG ENG ENG,0
36,entonces lo tienen ahí entonces there's a lot of construction going around here .,L2 L2 L2 L2 L2 pro:exist det:art n prep n part prep n .,ESP ESP ESP ESP ESP ENG ENG ENG ENG ENG ENG ENG ENG,1
37,so I asked what was happening .,co pro:sub v pro:int aux part .,ENG ENG ENG ENG ENG ENG,0
38,and they said that the the corrections is coming and also FBI .,coord pro:sub v comp det:art det:art n aux part coord adv n:prop .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
39,oh my goodness so we're expanding .,co det:poss co adv pro:sub part .,ENG ENG ENG ENG ENG ENG,0
40,exactly .,adv .,ENG,0
41,qué bueno .,pro:int co .,ENG ENG,0
42,es bueno tener un lugar donde uno pueda crecer porque digamos ahora estás aquí .,cop co inf det:art n pro:rel det:art imp inf conj v adv cop adv .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
43,pero mañana puedes estar en otra posición .,conj adv v inf prep det:indef n .,ENG ENG ENG ENG ENG ENG ENG,0
44,exacto uno nunca sabe .,co pro:dem adv v .,ENG ENG ENG ENG,0
