,sentence,pos,language,switch
0,you know this is a picture of the parking garage that you can easily tell .,pro:per v pro:dem cop det:art n prep det:art n:gerund n pro:rel pro:per mod adv v .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
1,there's G_c up top P_c on the left side book store on the top side as well .,pro:exist n:prop adv adj n:prop prep det:art adj n n n prep det:art adj n adv adv .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
2,I mean this is pretty readable right ?,pro:sub v pro:dem cop adv adj co ?,ENG ENG ENG ENG ENG ENG ENG,0
3,this isn't some kind of disgusting explanation .,pro:dem cop qn n prep adj n .,ENG ENG ENG ENG ENG ENG ENG,0
4,this is a map of parking garage .,pro:dem cop det:art n prep n:gerund n .,ENG ENG ENG ENG ENG ENG ENG,0
5,yeah I mean just you can orient them .,co pro:sub v adv pro:per mod v pro:obj .,ENG ENG ENG ENG ENG ENG ENG ENG,0
6,all right .,post co .,ENG ENG,0
7,now the next one .,adv det:art adj pro:indef .,ENG ENG ENG ENG,0
8,the next one after that .,det:art adj pro:indef prep pro:dem .,ENG ENG ENG ENG ENG,0
9,next one .,adv det:num .,ENG ENG,0
10,yeah all right .,co qn co .,ENG ENG ENG,0
11,I'm gonna ask you if you were standing there .,pro:sub part v pro:per conj pro:per aux part adv .,ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
12,were you standing at point one ?,cop pro:per part prep n pro:indef ?,ENG ENG ENG ENG ENG ENG,0
13,yes I was standing at point one when the police found us so and so on .,co pro:sub aux part prep n pro:indef conj det:art n v pro:obj adv coord adv adv .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
14,during the incident okay when we were found were you standing at point one on the third floor ?,prep det:art n adj conj pro:sub aux part cop pro:per part prep n pro:indef prep det:art adj n ?,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
15,that's where we were standing .,pro:dem pro:int pro:sub aux part .,ENG ENG ENG ENG ENG,0
16,It's imperative that we make that clear because the next page /.,adj n pro:rel pro:sub v adv adv conj det:art adj n +/.,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
17,so this is G_c right ?,adv pro:dem cop n:prop co ?,ENG ENG ENG ENG ENG,0
18,on the next page you'll see it .,prep det:art adj n pro:per v pro:per .,ENG ENG ENG ENG ENG ENG ENG,0
19,on the next page you'll see it .,prep det:art adj n pro:per v pro:per .,ENG ENG ENG ENG ENG ENG ENG,0
20,it's imperative you say it because on the next page then he's got an option .,pro:per adj pro:per v pro:per conj prep det:art adj n adv:tem pro:sub part det:art n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
21,where were you standing you know right before you came up ?,pro:rel cop pro:per part pro:per v adv prep pro:per v adv ?,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
22,and I've got pictures for each and every one of those .,coord pro:sub part n prep qn coord qn pro:indef prep pro:dem .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
23,nice .,adj .,ENG,0
24,okay .,co .,ENG,0
25,except for location two .,v prep n det:num .,ENG ENG ENG ENG,0
26,I have location nine .,pro:sub v n det:num .,ENG ENG ENG ENG,0
27,but if it's location two it'll be beautiful because I'll it will say the building .,conj conj pro:per n det:num pro:per cop adj conj pro:sub pro:per mod v det:art n .,ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG ENG,0
28,what did you see ?,pro:int mod pro:per v ?,ENG ENG ENG ENG,0
29,what did you hear ?,pro:int mod pro:per v ?,ENG ENG ENG ENG,0
30,.,None,,0
31,did you hear it over there ?,mod pro:per v pro:per prep n ?,ENG ENG ENG ENG ENG ENG,0
