,sentence,pos,language,switch
0,uhhuh .,co .,ESP,0
1,esperando .,ger .,ESP,0
2,uhhuh .,co .,ESP,0
3,uhhuh .,co .,ESP,0
4,uhhuh .,co .,ESP,0
5,ajá .,co .,ESP,0
6,aquí bien eh trabajando .,adv adv co ger .,ESP ESP ESP ESP,0
7,y aquí estaba //.,coord adv cop +//.,ESP ESP ESP,0
8,llamé a ...,v aprep +...,ESP ESP,0
9,ustedes tienen algo el jueves ?,pro:sub v pro:dem det:art n ?,ESP ESP ESP ESP ESP,0
10,a las once .,aprep det:art det:num .,ESP ESP ESP,0
11,uhhuh .,co .,ESP,0
12,no que el número ese del teléfono que papá me ha dado que había salido en el periódico .,adv pro:rel det:art n det:dem prep n prep n pro:obj aux part pro:rel aux part prep det:art n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
13,lo llamé .,pro:obj v .,ESP ESP,0
14,porque ya me cansé de llamar a los otros que me dijeron que .,conj adv pro:obj v prep inf aprep det:art det:indef pro:rel pro:obj v pro:rel .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
15,"el tipo me dijo ""/.","det:art n pro:obj v +""/.",ESP ESP ESP ESP,0
16,bueno nos acercamos a más de cien mil .,co pro:obj v aprep adv prep det:num det:num .,ESP ESP ESP ESP ESP ESP ESP ESP,0
17,me preguntó cuánto era la de papi .,pro:obj v pro:int cop pro:obj v n .,ESP ESP ESP ESP ESP ESP ESP,0
18,y yo le dije que noventa .,coord pro:sub pro:ind v pro:rel det:num .,ESP ESP ESP ESP ESP ESP,0
19,"me dice ""/.","pro:obj v +""/.",ESP ESP,0
20,bueno es tan cerca .,co cop adv adv .,ESP ESP ESP ESP,0
21,se puede probar para ver si alguien está interesado .,pro:refl v inf prep inf conj pro:indef aux part .,ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
22,aló ?,co ?,ESP,0
23,llamé el número del ...,v det:art n prep +...,ESP ESP ESP ESP,0
24,que ya yo había encontrado esa misma compañía en el website .,pro:rel adv pro:sub aux part det:dem adj n prep det:art L2 .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ENG,1
