,sentence,pos,language,switch
0,fue allá .,v adv .,ESP ESP,0
1,y la mujer no se apareció .,coord det:art co:voc adv pro:refl v .,ESP ESP ESP ESP ESP ESP,0
2,entonces él con el otro abogado delante del juez pidiendo que nada que vamos al trial .,adv pro:sub prep det:art pro:indef n adv prep n ger pro:rel v pro:rel v aprep L2 .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ENG,1
3,eh ah y la jueza /.,co co coord det:art n +/.,ESP ESP ESP ESP ESP,0
4,bueno van a ser número tres la semana de agosto de abril /.,co v aprep inf n det:num det:art n prep n prep n +/.,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
5,ah bueno .,co co .,ESP ESP,0
6,veintiocho !,det:num !,ESP,0
7,no .,adv .,ESP,0
8,ah bueno no .,co co adv .,ESP ESP ESP,0
9,él tiene otro trial .,pro:sub v pro:indef L2 .,ESP ESP ESP ENG,1
10,ay .,co .,ESP,0
11,justo la semana antes .,adv det:art n adv .,ESP ESP ESP ESP,0
12,qué va a hacer en tres días ?,pro:int v aprep inf prep det:num n ?,ESP ESP ESP ESP ESP ESP ESP,0
13,entonces no tiene tiempo para prepararse para éste .,adv adv v n prep inf prep pro:dem .,ESP ESP ESP ESP ESP ESP ESP ESP,0
14,y él le habló al juez que tengo un trial .,coord pro:sub pro:ind v aprep n pro:rel v det:art L2 .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ENG,1
15,y ella se limpió el ...,coord pro:sub pro:refl v det:art +...,ESP ESP ESP ESP ESP,0
16,.,None,,0
17,con eso y ...,prep pro:dem coord +...,ESP ESP ESP,0
18,"dijo ""/.","v +""/.",ESP,0
19,no !,adv !,ESP,0
20,así que después de un trial tiene que seguir allá otra vez para esto .,adv pro:rel adv prep det:art L2 v pro:rel inf adv det:indef n prep pro:dem .,ESP ESP ESP ESP ESP ENG ESP ESP ESP ESP ESP ESP ESP ESP,1
21,pero yo no vengo para acá ya porque ya tú tienes tu niño .,conj pro:sub adv v prep adv adv conj adv pro:sub v det:pos n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
22,no es que voy a tener mi bebé .,adv cop pro:rel v aprep inf det:pos n .,ESP ESP ESP ESP ESP ESP ESP ESP,0
23,ya estás con tu niño .,adv cop prep det:pos n .,ESP ESP ESP ESP ESP,0
24,y tienes que venir .,coord v pro:rel inf .,ESP ESP ESP ESP,0
25,no .,adv .,ESP,0
26,tú estás muy equivocada .,pro:sub cop adv part .,ESP ESP ESP ESP,0
27,yo no puedo dejar a Pablo solito .,pro:sub adv v inf aprep n:prop adj .,ESP ESP ESP ESP ESP ESP ESP,0
28,no mi vida .,adv det:pos co:voc .,ESP ESP ESP,0
29,te veo muy mal .,pro:obj v adv adv .,ESP ESP ESP ESP,0
30,sí sí y además .,co co coord adv .,ESP ESP ESP ESP,0
31,.,None,,0
32,yo no voy a ver a Enrique porque él tiene un trial la semana del veintiuno .,pro:sub adv v aprep inf aprep n:prop conj pro:sub v det:art L2 det:art n prep det:num .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ENG ESP ESP ESP ESP,1
33,Lily no es verdad que la madre cuando tiene su bebito si tiene que tener esa cosa del bebito .,n:prop adv cop co prep det:art n pro:rel v det:pos n conj v pro:rel inf det:dem v prep n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
34,.,None,,0
35,y ella sola verdad ?,coord pro:sub adj co ?,ESP ESP ESP ESP,0
36,no mami .,adv n .,ESP ESP,0
37,entonces .,adv .,ESP,0
38,no me estás escuchando .,adv pro:obj aux ger .,ESP ESP ESP ESP,0
39,no yo te estoy escuchando demasiado bien .,adv pro:sub pro:obj aux ger adj adv .,ESP ESP ESP ESP ESP ESP ESP,0
40,Enrique no va a estar en casa preparándose para el /.,n:prop adv v aprep inf prep n ger prep det:art +/.,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
41,mira Natalia ven para acá que ya llegaron .,co n:prop v prep adv pro:rel adv v .,ESP ESP ESP ESP ESP ESP ESP ESP,0
42,ay dios mío !,co co pro:pos !,ESP ESP ESP,0
43,bienvenidos !,part !,ESP,0
44,cierren ahí .,v adv .,ESP ESP,0
45,Lucho you know Peter .,n:prop L2 L2 n:prop .,ESP ENG ENG ESP,1
46,.,None,,0
47,cómo están ?,pro:int cop ?,ESP ESP,0
48,ay muy bien .,co adv adv .,ESP ESP ESP,0
49,sí qué bien !,co pro:int adv !,ESP ESP ESP,0
50,qué maravilla !,pro:int n !,ESP ESP,0
51,quieres un vaso de agua ?,v det:art n imp imp ?,ESP ESP ESP ESP ESP,0
52,quieren cafecito antes de empezar ?,v n adv prep inf ?,ESP ESP ESP ESP ESP,0
53,eh ?,co ?,ESP,0
54,quiero que estén con ánimo eh !,v pro:rel cop prep co co !,ESP ESP ESP ESP ESP ESP,0
55,.,None,,0
56,yo creo que él dice que sí en su cara .,pro:sub v pro:rel pro:sub v pro:rel co prep det:pos adj .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
57,sí él quiere café .,co pro:sub v n .,ESP ESP ESP ESP,0
58,mira .,co .,ESP,0
59,.,None,,0
60,Peter esta es Lorena una compañera mía del trabajo .,n:prop imp cop n:prop det:art n pro:pos prep v .,ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
61,.,None,,0
62,ella es la que nos tiene a nosotros ...,pro:sub cop det:art pro:rel pro:obj v aprep pro:sub +...,ESP ESP ESP ESP ESP ESP ESP ESP,0
63,.,None,,0
64,sí está haciendo un //.,co imp ger det:art +//.,ESP ESP ESP ESP,0
65,con los cables .,prep det:art n .,ESP ESP ESP,0
66,.,None,,0
67,ella está haciendo un posgrado .,pro:sub aux ger det:art n .,ESP ESP ESP ESP ESP,0
68,y ahora me me pidió que yo la ayudara .,coord adv pro:obj pro:obj v pro:rel pro:sub pro:obj v .,ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
69,y claro no le puedo decir que no porque tanto me ayuda en el trabajo .,coord co adv pro:ind v inf pro:rel adv conj adj pro:obj v prep det:art v .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
70,.,None,,0
71,pero es un fastidio tener esto .,conj cop det:art v inf pro:dem .,ESP ESP ESP ESP ESP ESP,0
72,.,None,,0
73,no no no no .,adv adv adv adv .,ESP ESP ESP ESP,0
74,.,None,,0
75,pues sí ustedes ...,co co pro:sub +...,ESP ESP ESP,0
76,.,None,,0
77,.,None,,0
78,okay te te enseño ?,co pro:obj pro:obj v ?,ESP ESP ESP ESP,0
79,.,None,,0
80,Natalia no estés subiendo las escaleras por favor porque nos vamos a romper con esto .,n:prop adv cop ger det:art n prep n conj pro:obj v aprep inf prep pro:dem .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
81,te enseño así .,pro:obj v adv .,ESP ESP ESP,0
82,no mami no voy /.,adv n adv v +/.,ESP ESP ESP ESP,0
83,voy al garaje .,v aprep n .,ESP ESP ESP,0
84,okay .,co .,ESP,0
85,me sigues al garaje .,pro:obj v aprep n .,ESP ESP ESP ESP,0
86,tengo //.,v +//.,ESP,0
87,.,None,,0
