,sentence,pos,language,switch
0,that's your mom's opinion .,pro:dem pro:poss:det n n .,ESP ESP ESP ESP,0
1,and your dad's opinion .,conj pro:poss:det n n .,ESP ESP ESP ESP,0
2,and I'm my parents' opinion .,conj pro:sub co n n .,ESP ESP ESP ESP ESP,0
3,it changes .,pro v .,ESP ESP,0
4,don't you think ?,mod pro v ?,ESP ESP ESP,0
5,.,None,,0
6,criticones .,n .,ESP,0
7,yours not mine .,pro:poss neg pro:poss .,ESP ESP ESP,0
8,well my dad yeah big time .,L2 L2 L2 co L2 L2 .,ENG ENG ENG ESP ENG ENG,1
9,.,None,,0
10,imagínate tu papá tu mamá .,L2 det:pos n det:pos n .,ENG ESP ESP ESP ESP,1
11,oye cómo trabajar ahí .,co co inf adv .,ESP ESP ESP ESP,0
12,no la verdad es que no .,adv det:art n cop pro:rel adv .,ESP ESP ESP ESP ESP ESP,0
13,no tiene .,adv v .,ESP ESP,0
14,no .,adv .,ESP,0
15,o te pones a trabajar .,coord pro:obj v aprep inf .,ESP ESP ESP ESP ESP,0
16,cómo me voy a poner a trabajar ?,pro:int pro:obj v aprep inf aprep inf ?,ESP ESP ESP ESP ESP ESP ESP,0
17,en no a trabajar en la clínica .,prep adv aprep inf prep det:art n .,ESP ESP ESP ESP ESP ESP ESP,0
18,mhm .,co .,ESP,0
19,.,None,,0
20,tu papá él ni loco .,det:pos n pro:sub coord adj .,ESP ESP ESP ESP ESP,0
21,por qué ?,prep pro:int ?,ESP ESP,0
22,ven pues .,co co .,ESP ESP,0
23,vamos a ser juntos twenty four seven .,v aprep inf adj L2 L2 L2 .,ESP ESP ESP ESP ENG ENG ENG,1
24,a tu papá le da un suicidio .,aprep det:pos n pro:ind v det:art n .,ESP ESP ESP ESP ESP ESP ESP,0
25,rico .,adj .,ESP,0
26,y a los míos me sacan de una vez de mi casa .,coord aprep det:art pro:pos pro:obj v prep pro:dem n prep det:pos imp .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
27,por qué ?,prep pro:int ?,ESP ESP,0
